Designator,Mid X,Mid Y,Layer,Rotation
SW1,77.47mm,-56.515mm,T,270
Y1,72.302mm,-70.02mm,T,90
U3,66.675mm,-92.71mm,T,0
U2,70.104mm,-78.232mm,T,90
U1,57.404mm,-59.436mm,T,0
R7,65.024mm,-78.742mm,T,270
R6,65.024mm,-81.278mm,T,90
R5,64.514mm,-63.5mm,T,180
R4,60.962mm,-73.66mm,T,180
R3,64.518mm,-61.595mm,T,0
R2,64.518mm,-58.42mm,T,0
R1,64.518mm,-55.245mm,T,0
Q2,61.91mm,-76.724mm,T,270
Q1,61.992mm,-81.28mm,T,0
J1,66.04mm,-47.625mm,T,180
D3,67.3355mm,-61.595mm,T,180
D2,67.3355mm,-58.42mm,T,180
D1,67.3355mm,-55.245mm,T,180
C3,56.121mm,-69.088mm,T,0
C2,56.9095mm,-65.532mm,T,0
C1,57.137mm,-54.356mm,T,180
